DepComN;NomCN;DepComA;NomCA;ChefLieu;ComDLG;Date1;Date2;Date3;;;;;;;;;;;;;;;;;
14672;Val de Drôme;14672;Sept-Vents;O;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14672;Val de Drôme;14217;Dampierre;N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14672;Val de Drôme;14350;Lande-sur-Drôme (La);N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14672;Val de Drôme;14596;Saint-Jean-des-Essartiers;N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14712;Saline;14712;Troarn;O;O;29/07/2016;;26/10/2016;;;;;;;;;;;;;;;;;
14712;Saline;14666;Sannerville;N;O;29/07/2016;;26/10/2016;;;;;;;;;;;;;;;;;
15138;Murat;15138;Murat;O;O;16/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
15138;Murat;15044;Chastel-sur-Murat ;N;O;16/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
15141;Neussargues en Pinatelle;15141;Neussargues-Moissac;O;O;21/09/2016;01/12/2016;26/10/2016;;;;;;;;;;;;;;;;;
15141;Neussargues en Pinatelle;15031;Celles;N;O;21/09/2016;01/12/2016;26/10/2016;;;;;;;;;;;;;;;;;
15141;Neussargues en Pinatelle;15035;Chalinargues;N;O;21/09/2016;01/12/2016;26/10/2016;;;;;;;;;;;;;;;;;
15141;Neussargues en Pinatelle;15047;Chavagnac;N;O;21/09/2016;01/12/2016;26/10/2016;;;;;;;;;;;;;;;;;
15141;Neussargues en Pinatelle;15171;Sainte-Anastasie;N;O;21/09/2016;01/12/2016;26/10/2016;;;;;;;;;;;;;;;;;
15142;Neuvéglise-sur-Truyère;15142;Neuvéglise;O;O;21/09/2016;;26/10/2016;;;;;;;;;;;;;;;;;
15142;Neuvéglise-sur-Truyère;15099;Lavastrie;N;O;21/09/2016;;26/10/2016;;;;;;;;;;;;;;;;;
15142;Neuvéglise-sur-Truyère;15145;Oradour;N;O;21/09/2016;;26/10/2016;;;;;;;;;;;;;;;;;
15142;Neuvéglise-sur-Truyère;15227;Sériers;N;O;21/09/2016;;26/10/2016;;;;;;;;;;;;;;;;;
16023;Aunac-sur-Charente;16023;Aunac;O;O;09/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
16023;Aunac-sur-Charente;16033;Bayers;N;O;09/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
16023;Aunac-sur-Charente;16094;Chenommet;N;O;09/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
16046;Côteaux du Blanzacais;16046;Blanzac-Porcheresse;O;O;03/11/2016;;24/12/2016;;;;;;;;;;;;;;;;;
16046;Côteaux du Blanzacais;16115;Cressac-Saint-Genis;N;O;03/11/2016;;24/12/2016;;;;;;;;;;;;;;;;;
16204;Bellevigne;16204;Malaville;O;O;22/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16204;Bellevigne;16129;Éraville ;N;O;22/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16204;Bellevigne;16247;Nonaville;N;O;22/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16204;Bellevigne;16386;Touzac;N;O;22/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16204;Bellevigne;16417;Viville;N;O;22/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16230;Montmoreau;16230;Montmoreau-Saint-Cybard;O;O;29/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16230;Montmoreau;16004;Aignes-et-Puypéroux;N;O;29/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16230;Montmoreau;16294;Saint-Amant-de-Montmoreau;N;O;29/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16230;Montmoreau;16314;Saint-Eutrope;N;O;29/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
16230;Montmoreau;16328;Saint-Laurent-de-Belzagot;N;O;29/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
19010;Argentat-sur-Dordogne;19010;Argentat;O;O;28/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
19010;Argentat-sur-Dordogne;19183;Saint-Bazile-de-la-Roche;N;O;28/06/2016;;20/07/2016;;;;;;;;;;;;;;;;;
19252;Sarroux - Saint Julien;19252;Sarroux;O;O;22/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
19252;Sarroux - Saint Julien;19218;Saint-Julien-près-Bort;N;O;22/06/2016;;23/07/2016;;;;;;;;;;;;;;;;;
21195;Cormot-Vauchignon;21195;Cormot-le-Grand;O;N;02/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
21195;Cormot-Vauchignon;21658;Vauchignon;N;N;02/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
22055;Binic-Étables-sur-Mer;22055;Étables-sur-Mer;O;O;18/02/2016;01/03/2016;19/07/2016;;;;;;;;;;;;;;;;;
22055;Binic-Étables-sur-Mer;22007;Binic;N;O;18/02/2016;01/03/2016;19/07/2016;;;;;;;;;;;;;;;;;
22107;Bon Repos sur Blavet;22107;Laniscat;O;O;30/08/2016;;27/10/2016;;;;;;;;;;;;;;;;;
22107;Bon Repos sur Blavet;22167;Perret;N;O;30/08/2016;;27/10/2016;;;;;;;;;;;;;;;;;
22107;Bon Repos sur Blavet;22290;Saint-Gelven;N;O;30/08/2016;;27/10/2016;;;;;;;;;;;;;;;;;
22158;Guerlédan;22158;Mûr-de-Bretagne;O;O;30/08/2016;;26/10/2016;;;;;;;;;;;;;;;;;
22158;Guerlédan;22298;Saint-Guen;N;O;30/08/2016;;26/10/2016;;;;;;;;;;;;;;;;;
22209;Beaussais-sur-Mer;22209;Ploubalay;O;O;30/08/2016;;26/10/2016;;;;;;;;;;;;;;;;;
22209;Beaussais-sur-Mer;22192;Plessix-Balisson;N;O;30/08/2016;;26/10/2016;;;;;;;;;;;;;;;;;
22209;Beaussais-sur-Mer;22357;Trégon;N;O;30/08/2016;;26/10/2016;;;;;;;;;;;;;;;;;
23192;Fursac;23192;Saint-Étienne-de-Fursac;O;O;29/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
23192;Fursac;23231;Saint-Pierre-de-Fursac;N;O;29/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
24026;Bassillac et Auberoche;24026;Bassillac;O;O;29/06/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24026;Bassillac et Auberoche;24044;Blis-et-Born;N;O;29/06/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24026;Bassillac et Auberoche;24103;Change (Le);N;O;29/06/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24026;Bassillac et Auberoche;24166;Eyliac;N;O;29/06/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24026;Bassillac et Auberoche;24270;Milhac-d'Auberoche;N;O;29/06/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24026;Bassillac et Auberoche;24369;Saint-Antoine-d'Auberoche;N;O;29/06/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24053;Boulazac Isle Manoire;24053;Boulazac Isle Manoire;O;O (*);26/09/2016;;26/10/2016;;;;;;;;;;;;;;;;;
24053;Boulazac Isle Manoire;24447;Sainte-Marie-de-Chignac;N;O;26/09/2016;;26/10/2016;;;;;;;;;;;;;;;;;
24087;Castels et Bézenac;24087;Castels;O;O;29/06/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24087;Castels et Bézenac;24041;Bézenac;N;O;29/06/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24117;Coteaux Périgourdins (Les);24117;Chavagnac;O;O;29/06/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24117;Coteaux Périgourdins (Les);24204;Grèzes;N;O;29/06/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24147;Cubjac-Auvézère-Val d'Ans;24147;Cubjac;O;O;26/09/2016;;22/10/2016;;;;;;;;;;;;;;;;;
24147;Cubjac-Auvézère-Val d'Ans;24047;Boissière-d'Ans (La);N;O;26/09/2016;;22/10/2016;;;;;;;;;;;;;;;;;
24147;Cubjac-Auvézère-Val d'Ans;24475;Saint-Pantaly-d'Ans;N;O;26/09/2016;;22/10/2016;;;;;;;;;;;;;;;;;
24216;Jemaye-Ponteyraud (La);24216;Jemaye (La);O;O;01/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
24216;Jemaye-Ponteyraud (La);24333;Ponteyraud;N;O;01/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24253;Mareuil;O;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24033;Beaussac;N;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24099;Champeaux-et-la-Chapelle-Pommier;N;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24203;Graulges (Les);N;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24235;Léguillac-de-Cercles;N;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24283;Monsec;N;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24344;Puyrenier;N;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24503;Saint-Sulpice-de-Mareuil;N;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24253;Mareuil en Périgord;24579;Vieux-Mareuil;N;O;26/09/2016;;29/10/2016;;;;;;;;;;;;;;;;;
24312;Sanilhac;24312;Notre-Dame-de-Sanilhac;O;O;26/09/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24312;Sanilhac;24065;Breuilh;N;O;26/09/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24312;Sanilhac;24258;Marsaneix;N;O;26/09/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24362;Val de Louyre et Caudeau;24362;Sainte-Alvère-Saint-Laurent Les Bâtons;O;O (*);26/09/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24362;Val de Louyre et Caudeau;24092;Cendrieux;N;O;26/09/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24490;Saint Privat en Périgord;24490;Saint-Privat-des-Prés;O;O;26/09/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24490;Saint Privat en Périgord;24178;Festalemps;N;O;26/09/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24490;Saint Privat en Périgord;24368;Saint-Antoine-Cumond;N;O;26/09/2016;;27/10/2016;;;;;;;;;;;;;;;;;
24554;Tour-Blanche-Cercles (La);24554;Tour-Blanche (La);O;O;26/09/2016;;23/10/2016;;;;;;;;;;;;;;;;;
24554;Tour-Blanche-Cercles (La);24093;Cercles;N;O;26/09/2016;;23/10/2016;;;;;;;;;;;;;;;;;
25147;Chemaudin et Vaux;25147;Chemaudin;O;N;12/08/2016;;22/10/2016;;;;;;;;;;;;;;;;;
25147;Chemaudin et Vaux;25593;Vaux-les-Prés;N;N;12/08/2016;;22/10/2016;;;;;;;;;;;;;;;;;
25156;Pays de Clerval;25156;Clerval;O;N;09/08/2016;;22/10/2016;;;;;;;;;;;;;;;;;
25156;Pays de Clerval;25531;Santoche;N;N;09/08/2016;;22/10/2016;;;;;;;;;;;;;;;;;
25222;Étalans;25222;Étalans;O;N;12/08/2016;;22/10/2016;;;;;;;;;;;;;;;;;
25222;Étalans;25123;Charbonnières-les-Sapins;N;N;12/08/2016;;22/10/2016;;;;;;;;;;;;;;;;;
25222;Étalans;25610;Verrières-du-Grosbois;N;N;12/08/2016;;22/10/2016;;;;;;;;;;;;;;;;;
25334;Levier;25334;Levier;O;N;16/11/2016;;27/12/2016;;;;;;;;;;;;;;;;;
25334;Levier;25319;Labergement-du-Navois;N;N;16/11/2016;;27/12/2016;;;;;;;;;;;;;;;;;
25460;Val (Le);25460;Pointvillers;O;N;23/11/2016;;27/12/2016;;;;;;;;;;;;;;;;;
25460;Val (Le);25399;Montfort;N;N;23/11/2016;;27/12/2016;;;;;;;;;;;;;;;;;
